#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-24 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1,NORM
1.0,1.223625,0.110625,7.2368035e-05
1.0,1.223375,0.1105,7.2368035e-05
1.0,1.223625,0.11025,7.2368035e-05
1.0,1.2235,0.110375,7.2368035e-05
1.0,1.223375,0.110625,7.2368035e-05
1.0,1.22325,0.110375,7.2368035e-05
1.0,1.223125,0.1105,7.2368035e-05
1.0,1.223125,0.1105,7.2368035e-05
1.0,1.223625,0.110625,7.2368035e-05
1.0,1.224,0.1105,7.2368035e-05
1.0,1.224125,0.110625,7.2368035e-05
1.0,1.224125,0.110625,7.2368035e-05
1.0,1.22425,0.110375,7.2368035e-05
1.0,1.224375,0.11025,7.2368035e-05
1.0,1.224875,0.110375,7.2368035e-05
1.0,1.224625,0.110375,7.2368035e-05
1.0,1.224125,0.11025,7.2368035e-05
1.0,1.2235,0.110375,7.2368035e-05
1.0,1.2235,0.1105,7.2368035e-05
1.0,1.22375,0.110625,7.2368035e-05
1.0,1.2235,0.110625,7.2368035e-05
1.0,1.223375,0.1105,7.2368035e-05
1.0,1.22325,0.110375,7.2368035e-05
1.0,1.22325,0.110375,7.2368035e-05
1.0,1.22325,0.1105,7.2368035e-05
1.0,1.22375,0.110625,7.2368035e-05
1.0,1.223875,0.110625,7.2368035e-05
1.0,1.223625,0.110625,7.2368035e-05
1.0,1.224125,0.110375,7.2368035e-05
1.0,1.223875,0.11025,7.2368035e-05
1.0,1.224125,0.11025,7.2368035e-05
1.0,1.2245,0.110375,7.2368035e-05
1.0,1.224125,0.110375,7.2368035e-05
1.0,1.2235,0.11025,7.2368035e-05
1.0,1.22325,0.110375,7.2368035e-05
1.0,1.22325,0.110625,7.2368035e-05
1.0,1.22325,0.110625,7.2368035e-05
